n,times
1017,1238
1018,1226
1019,1285
1020,1244
1021,1240
1022,1225
1023,1277
1024,1227
1025,1241
1026,1285
1027,1231
1028,1236
1029,1249
1030,1288
1031,1303
1032,1257
1033,1277
1034,1293
1035,1247
1036,1251
1037,1255
1038,1239
1039,1250
1040,1252
1041,1314
1042,1361
1043,1260
1044,1311
1045,1263
1046,1332
1047,1259
1048,1263
1049,1271
1050,1322
1051,1270
1052,1288
1053,1363
1054,1299
1055,1382
1056,1326
1057,1294
1058,1275
1059,1300
1060,1337
1061,1337
1062,1282
1063,1287
1064,1308
1065,1357
1066,1328
1067,1435
1068,5637
1069,1331
1070,1284
1071,1294
1072,1285
1073,1303
1074,1298
1075,1302
1076,1295
1077,1312
1078,1312
1079,1369
1080,1294
1081,1361
1082,1351
1083,1305
1084,1301
1085,1314
1086,1348
1087,1339
1088,1306
1089,1332
1090,1318
1091,1315
1092,1312
1093,1315
1094,1337
1095,1342
1096,1320
1097,1332
1098,1339
1099,1327
1100,1437
1101,1351
1102,1453
1103,1319
1104,1344
1105,1351
1106,1321
1107,1377
1108,1352
1109,1395
1110,1366
1111,1345
1112,1332
1113,1357
1114,1349
1115,1351
1116,1334
1117,1366
1118,1375
1119,1338
1120,1341
1121,1398
1122,1363
1123,1348
1124,1351
1125,1399
1126,1345
1127,1365
1128,1347
1129,1363
1130,1372
1131,1356
1132,1403
1133,1369
1134,1347
1135,1353
1136,1398
1137,1382
1138,1430
1139,1368
1140,1371
1141,1372
1142,1360
1143,1368
1144,1383
1145,1380
1146,1416
1147,1378
1148,1497
1149,1382
1150,1361
1151,1381
1152,1378
1153,1397
1154,1419
1155,1387
1156,1384
1157,1404
1158,1473
1159,1439
1160,1406
1161,1457
1162,1390
1163,1414
1164,1388
1165,1468
1166,1387
1167,1383
1168,1395
1169,1401
1170,1520
1171,1395
1172,1416
1173,1478
1174,1394
1175,1442
1176,1422
1177,1410
1178,1396
1179,1411
1180,1435
1181,1485
1182,1452
1183,1413
1184,1412
1185,1515
1186,1410
1187,1460
1188,1408
1189,1426
1190,1421
1191,1416
1192,1415
1193,1426
1194,1489
1195,1427
1196,1500
1197,1446
1198,1415
1199,1467
1200,1427
1201,1437
1202,1475
1203,1433
1204,1448
1205,1499
1206,1441
1207,1467
1208,1453
1209,1441
1210,1441
1211,1444
1212,1441
1213,1489
1214,1443
1215,1438
1216,1441
1217,1467
1218,1460
1219,1448
1220,1497
1221,1511
1222,1445
1223,1509
1224,1521
1225,1457
1226,1453
1227,1478
1228,1515
1229,1471
1230,1457
1231,1508
1232,1459
1233,1476
1234,1500
1235,1467
1236,1463
1237,1481
1238,1509
1239,1516
1240,1466
1241,1482
1242,1492
1243,1514
1244,1483
1245,1526
1246,1463
1247,1476
1248,1494
1249,1489
1250,1548
1251,1520
1252,1571
1253,1493
1254,1491
1255,1511
1256,1498
1257,1498
1258,1485
1259,1493
1260,1491
1261,1548
1262,1533
1263,1544
1264,1512
1265,1511
1266,1501
1267,1580
1268,1495
1269,1547
1270,1505
1271,1515
1272,1507
1273,1522
1274,1555
1275,1513
1276,1521
1277,1516
1278,1551
1279,1549
1280,1537
1281,1527
1282,1532
1283,1543
1284,1563
1285,1541
1286,1527
1287,1563
1288,1548
1289,1537
1290,1602
1291,1537
1292,1573
1293,1542
1294,1571
1295,1536
1296,1624
1297,1558
1298,1539
